date,station,site,location,country,latitude,longitude,exposure,orientation,geology,reef_geomorphology,reeftype_old,reef_type
2015-10-03,ch_mvundeni,ch_mvundeni,kiunga,kenya,-1.934330016,41.3913,NA,east,,,,
2014-03-27,jrknoll,salomon_lagoon,salomon,chagos,-5.342716667,72.22791667,2,various,atoll,atoll_patch,Lagoon knoll,lagoon_pinnacle
2015-10-04,ch_rubu,ch_rubu,kiunga,kenya,-1.90340599,41.417862,NA,east,,,,
2015-02-01,iweni01,iweni,pate_island,kenya,-2.2158,41.01296667,NA,w,continental_island,inner-seas_exposed_fringing_reef,Reef flat,reef_flat
2015-03-11,kisangamungo,malinde-kiwe,malinde,mozambique,-11.304951,40.50233304,2,west,continental_patch_complex,inner_seas_patch_reef_complex,Patch,shallow_terrace
2016-04-11,kisit_lee1,kisite_east,shimoni,kenya,-4.715047013,39.38061403,NA,ese,continental_island,inner-seas_exposed_fringing_reef,Forereef,forereef
2016-04-11,kisit_lee2,kisite_east,shimoni,kenya,-4.71411,39.37610297,NA,ese,continental_island,inner-seas_exposed_fringing_reef,Forereef,forereef
2015-10-04,kui,kui,kiunga,kenya,-1.828320986,41.44495499,NA,west,continental_fringing_reef,lagoon_exposed_fringing_reef,inner back reef,forereef
2015-10-05,kupi,kui,kiunga,kenya,-1.833282989,41.43640696,NA,east,continental_fringing_reef,lagoon_exposed_fringing_reef,inner back reef,forereef
2014-02-28,kiwe1,kiwe,lalane,mozambique,-11.11665,40.62633333,2,e,continental_patch_complex,inner_seas_patch_reef_complex,Offshore patch reef,shallow_terrace
2015-03-06,kiwe1,kiwe,lalane,mozambique,-11.11665,40.62633333,2,east,continental_patch_complex,inner_seas_patch_reef_complex,Offshore patch reef,shallow_terrace
2014-02-28,kiwe2,kiwe,lalane,mozambique,-11.12533333,40.61171667,2,se,continental_patch_complex,inner_seas_patch_reef_complex,Offshore patch reef,shallow_terrace
2015-03-06,kiwe2,kiwe,lalane,mozambique,-11.12533333,40.61171667,2,east,continental_patch_complex,inner_seas_patch_reef_complex,Offshore patch reef,shallow_terrace
2016-04-12,makokokwe1,makokokwe,shimoni,kenya,-4.723897967,39.33592902,NA,ese,continental_island,inner-seas_exposed_fringing_reef,,reef_flat
2016-04-12,makokokwe2,makokokwe,shimoni,kenya,-4.721656982,39.33497599,NA,ese,continental_island,inner-seas_exposed_fringing_reef,,reef_flat
2015-03-06,lalane1,lalane,lalane,mozambique,-11.14878333,40.53946667,2,east,continental_patch_complex,inner_seas_patch_reef_complex,Fringing,shallow_lagoonal_terrace
2010-03-31,loky6,loky_s,loky,madagascar,-12.73046667,49.69643333,2,nw,continental_fringing_reef,ocean-exposed_fringing_reef,Fringing,forereef
2010-04-09,loky6b,loky_s,loky,madagascar,-12.73105,49.69546667,2,nw,continental_fringing_reef,ocean-exposed_fringing_reef,Fringing,forereef
2010-04-01,loky8,lokynw,loky,madagascar,-12.72423333,49.66738333,2,se,continental_outer_shelf_barrier,coastal_barrier_reef_complex,Fringing,diffuse_fringing_reef
2010-04-01,loky9,lokynw,loky,madagascar,-12.70198333,49.66535,2,se,continental_outer_shelf_barrier,coastal_barrier_reef_complex,Fringing,diffuse_fringing_reef
2015-10-05,mongo_shariff,mongo_shariff,kiunga,kenya,-1.88192904,41.436945,NA,east,,,offshore plateau,
2015-10-06,shimo_la_tewa,shimo_la_tewa,kiunga,kenya,-2.04414703,41.24125496,NA,se,continental_island,ocean_exposed_fringing_reef,Forereef,forereef
2009-10-16,chuma1,chumb,zanzibar,tanzania,-6.279933333,39.17395,2,north,continental_island,inner-seas_exposed_fringing_reef,Fringing,forereef
2015-03-11,malkiwe,malinde-kiwe,malinde,mozambique,-11.30974604,40.52603798,2,west,continental_patch_complex,inner_seas_patch_reef_complex,Patch,shallow_terrace
2009-10-16,chuma2,chumb,zanzibar,tanzania,-6.279266667,39.17416667,2,north,continental_island,inner-seas_exposed_fringing_reef,Fringing,forereef
2011-03-26,dindi8,dindini,mafia,tanzania,-7.91805,39.82726667,5,ses,continental_fringing_reef,ocean-exposed_fringing_reef,Terrace&Wall,forereef
2014-04-13,melitasknoll,dglagoonn,diego_garcia,chagos,-7.25095,72.41985,2,various,atoll,atoll_patch,Lagoon knoll,lagoon_pinnacle
2010-06-21,metund1,metundflat,metundo,mozambique,-11.12465,40.67598333,2,nw,continental_island,coastal_barrier_reef_complex,Reef flat,reef_flat
2010-06-21,metund2,metundflat,metundo,mozambique,-11.13166667,40.69601667,2,nw,continental_island,coastal_barrier_reef_complex,Reef flat,reef_flat
2010-06-22,metund3,makungn,metundo,mozambique,-11.09873333,40.72708333,5,e,continental_island,coastal_barrier_reef_complex,Wall,deep_terrace
2010-06-23,metund4,makungn,metundo,mozambique,-11.09865,40.72798333,5,e,continental_island,coastal_barrier_reef_complex,Wall,deep_terrace
2010-06-23,metund5,baixo_pinguim_ne,metundo,mozambique,-11.1336,40.70335,3,ne,continental_island,coastal_barrier_reef_complex,Fringing,deep_terrace
2010-06-24,metund6,baixo_pinguim_ne,metundo,mozambique,-11.08083333,40.66075,4,se,continental_island,coastal_barrier_reef_complex,Submerged reef,deep_terrace
2015-03-10,metundoe,metundoe,metundo,mozambique,-11.15118097,40.70303704,4,east,continental_island,ocean-exposed_fringing_reef,Fore reef slope,forereef
2014-03-02,metundone1,metundo_ne,metundo,mozambique,-11.13315,40.70245,5,ne,continental_island,ocean-exposed_fringing_reef,Fringing ,forereef
2015-03-10,metundone1,metundone,metundo,mozambique,-11.13315,40.70245,5,ne,continental_island,ocean-exposed_fringing_reef,Fringing ,forereef
2014-03-02,metundone2,metundo_ne,metundo,mozambique,-11.13545,40.70286667,5,nee,continental_island,ocean-exposed_fringing_reef,Fringing,forereef
2014-04-08,midbrolee,mid_brotherlag,gt_chagos_bank,chagos,-6.152066667,71.52718333,2,ne,atoll,atoll_lagoon,Leeward,inner_slope
2014-04-07,midbrowest,three_brothers,gt_chagos_bank,chagos,-6.157933333,71.5126,4,sw,atoll,atoll_rim,Terrace&Wall,forereef
2014-04-13,middleisout,dgoutern,diego_garcia,chagos,-7.226233333,72.40843333,4,various,atoll,atoll_rim,Outer wall,forereef
2011-03-26,dindi9,dindini,mafia,tanzania,-7.921633333,39.82505,5,ses,continental_fringing_reef,ocean-exposed_fringing_reef,Terrace&Wall,forereef
2011-03-22,kifin32,kifinge,mafia,tanzania,-7.84965,39.8632,5,ese,continental_fringing_reef,ocean-exposed_fringing_reef,Reef slope,forereef
2011-03-22,kifinn,kifinge,mafia,tanzania,-7.843783333,39.86655,5,ese,continental_fringing_reef,ocean-exposed_fringing_reef,Reef slope,forereef
2014-02-28,miwona,miwona,ns._ponta,mozambique,-11.20781667,40.5244,2,se,continental_patch_complex,inner_seas_patch_reef_complex,Fringing,shallow_lagoonal_terrace
2014-09-13,mm14_01_01,musha_nw,musha_is,djibouti,11.736745,43.167275,NA,nw,,,16,
2014-09-14,mm14_01_02,musha_nw,musha_is,djibouti,11.734989,43.167365,NA,nw,,,16,
2014-09-14,mm14_02_01,ankali,musha_is,djibouti,11.726677,43.327323,NA,ese,,,22,
2014-09-14,mm14_02_02,ankali,musha_is,djibouti,11.72516,43.312135,NA,various,,,13,
2014-09-15,mm14_03_01,musha_e,musha_is,djibouti,11.70485,43.219367,NA,e,,,7,
2014-09-26,mm14_04_01,maskali_s,musha_is,djibouti,11.705993,43.152141,NA,ss,,,10,
2014-09-26,mm14_04_02,maskali_s,musha_is,djibouti,11.708801,43.150516,NA,ss,,,9,
2011-03-25,kitut1,kitutia,mafia,tanzania,-8.131683333,39.6456,3,south,continental_patch_complex,inner_seas_patch_reef_complex,Fringing,shallow_terrace
2011-03-25,kitut2,kitutia,mafia,tanzania,-8.118833333,39.65035,2,ne,continental_patch_complex,inner_seas_patch_reef_complex,Fringing,shallow_terrace
2011-03-24,mange1,mange,mafia,tanzania,-8.056833333,39.60428333,2,east,continental_patch_complex,inner_seas_patch_reef_complex,Offshore sand cay,shallow_terrace
2011-03-24,mange2,mange,mafia,tanzania,-8.0787,39.59795,3,south,continental_patch_complex,inner_seas_patch_reef_complex,Offshore sand cay,shallow_terrace
2009-10-25,mnaza1,mnazia,mnazi_outers,tanzania,-10.29486667,40.41475,5,se,continental_fringing_reef,ocean-exposed_fringing_reef,Fore reef slope,forereef
2009-10-25,mnaza2,mnazia,mnazi_outers,tanzania,-10.28918333,40.41085,5,se,continental_fringing_reef,ocean-exposed_fringing_reef,Fore reef slope,forereef
2009-10-26,mnazb1,mnazib,mnaziouterm,tanzania,-10.26611667,40.38583333,5,se,continental_fringing_reef,ocean-exposed_fringing_reef,Fore reef slope,forereef
2009-10-26,mnazb2,mnazib,mnaziouterm,tanzania,-10.25835,40.3739,5,se,continental_fringing_reef,ocean-exposed_fringing_reef,Fore reef slope,forereef
2009-10-27,mnazd1,mnazid,mnaziinner,tanzania,-10.33686667,40.35586667,1,-1,continental_fringing_reef,lagoon-exposed_fringing_reef,Patch reef,shallow_terrace
2009-10-27,mnazd2,mnazid,mnaziinner,tanzania,-10.33165,40.36435,1,-1,continental_fringing_reef,lagoon-exposed_fringing_reef,Patch reef,shallow_terrace
