date,station,site,country,latitude,longitude,closest_cell_lat,closest_cell_lon,cell_distance_km,sst_annual_mean
2018-09-30,bmb_01,bimbini,comoros,-12.22042,44.25719,-12.2291669845581,44.2708320617676,1.77310392050185,28.4108326983017
2018-10-01,bmb_02,bimbini,comoros,-12.23277,44.2812,-12.2291669845581,44.2708320617676,1.19580672532725,28.3433326998105
2018-09-27,oua_01,ouani,comoros,-12.14242,44.41511,-12.1458339691162,44.3958320617676,2.12974693316823,28.3945826986649
2018-09-28,oua_02,ouani,comoros,-12.153825,44.40403,-12.1458339691162,44.3958320617676,1.25845015284792,28.3945826986649
2021-11-22,dnr_02,diani_reef,kenya,-4.28317,39.60162,-4.27083349227905,39.6041679382324,1.40055208624502,27.3799993880093
2021-11-22,dnr_01,diani_reef,kenya,-4.27953,39.60407,-4.27083349227905,39.6041679382324,0.967070035076156,27.3799993880093
2021-11-20,kmo_01,kinondo_makonde,kenya,-4.40924,39.56028,-4.39583349227905,39.5625,1.51091929762826,27.407916054052
2021-11-20,kmo_02,kinondo_makonde,kenya,-4.40924,39.56028,-4.39583349227905,39.5625,1.51091929762826,27.407916054052
2021-11-16,mvu_01,mvureni,kenya,-4.35188,39.57766,-4.35416698455811,39.5625,1.69998314400391,27.4724993859418
2022-09-08,bang_01,bangoi,comoros,-11.36711,43.37958,-11.3541669845581,43.3958320617676,2.28262238781583,27.8633327105393
2022-09-08,bang_02,bangoi,comoros,-11.36769,43.37429,-11.3541669845581,43.3541679382324,2.65953354045099,27.7287493802141
2022-09-12,chin_01,chindini,comoros,-11.93169,43.49697,-11.9375,43.4791679382324,2.0416249303595,27.6449993820861
2022-09-17,chin_02,chindini,comoros,-11.93565,43.49377,-11.9375,43.4791679382324,1.60183304395172,27.6449993820861
2023-11-02,fss_01,fassi,comoros,-11.39113,43.27732,-11.3958339691162,43.2708320617676,0.879622850001891,28.1245827046999
2023-11-02,fss_02,fassi,comoros,-11.39571,43.27571,-11.3958339691162,43.2708320617676,0.531888431614514,28.1245827046999
2022-09-16,ifoc_01,ifoundihe_chamboini,comoros,-11.91326,43.42691,-11.8958339691162,43.4375,2.25438984926784,27.062499395106
2022-09-17,ifoc_02,ifoundihe_chamboini,comoros,-11.91747,43.4299,-11.9375,43.4375,2.37576274653221,27.7704160459495
2022-09-15,itso_01,itsoundzou,comoros,-11.873187,43.3866534,-11.8541669845581,43.3958320617676,2.33892785395382,27.5324993846007
