chlor_a_mean,lat,lon,date,source_file
0.23702014576305,0.697916666666671,45.9132260321904,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0893990135192871,0.697916666666671,45.9552134359692,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0481848533336933,0.697916666666671,45.9972008397481,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0273613515107528,0.697916666666671,46.039188243527,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0255655894676844,0.697916666666671,46.0811756473058,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0228483992464402,0.697916666666671,46.1231630510847,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0256412476301193,0.697916666666671,46.1651504548636,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0235426944235097,0.697916666666671,46.2071378586424,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0243507226308187,0.697916666666671,46.2491252624213,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0266603864729404,0.697916666666671,46.2911126662002,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.023209450500352,0.697916666666671,46.333100069979,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0240638364445079,0.697916666666671,46.3750874737579,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0538875386118889,0.697916666666671,46.4170748775368,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.045284166932106,0.697916666666671,46.6270118964311,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.02322037872814,0.697916666666671,46.66899930021,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0338007867336273,0.697916666666671,46.7529741077677,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0198931535085042,0.697916666666671,46.7949615115465,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0253863930702209,0.697916666666671,46.8369489153254,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0275711502347674,0.697916666666671,46.8789363191043,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0157541930675507,0.697916666666671,46.9209237228832,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0155802152373574,0.697916666666671,46.962911126662,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.634610056877136,0.65625,39.176964327349,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.139426628748576,0.65625,39.2189321520168,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0722922949955381,0.65625,39.2608999766846,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0417867119495685,0.65625,39.3028678013523,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0286407440900803,0.65625,39.3448356260201,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0224120381631349,0.65625,39.3868034506878,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0204736530780792,0.65625,39.4287712753556,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0245416791815507,0.65625,39.4707391000233,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0291792452335358,0.65625,39.5127069246911,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.047819260507822,0.65625,39.5546747493588,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0582883954048157,0.65625,39.5966425740266,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0733174830675125,0.65625,39.8484495220331,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0304077446460724,0.65625,39.8904173467009,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0498612299561501,0.65625,39.9323851713686,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0298511832952499,0.65625,39.9743529960364,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0304646817120639,0.65625,40.0163208207041,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0461651459336281,0.65625,40.0582886453719,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.02077445600714,0.65625,40.1002564700396,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0170657350903466,0.65625,40.1422242947074,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0163739579064505,0.65625,40.1841921193752,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0158073405424754,0.65625,40.2261599440429,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0163454523212031,0.65625,40.2681277687107,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.018655029626993,0.65625,40.3100955933784,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0201624447391147,0.65625,40.3520634180462,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0201940139134725,0.65625,40.3940312427139,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0193266987800598,0.65625,40.4359990673817,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0164492935747714,0.65625,40.4779668920494,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0191550392370958,0.65625,40.5199347167172,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0167457826675907,0.65625,40.5619025413849,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0221637984116872,0.65625,40.6038703660527,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0200929353977072,0.65625,40.6458381907204,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0216575009482247,0.65625,40.6878060153882,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0217183933538549,0.65625,40.729773840056,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0245680632414641,0.65625,40.7717416647237,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0257492390545932,0.65625,40.8137094893915,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0188934390361492,0.65625,40.8556773140592,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.021227036913236,0.65625,40.897645138727,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0233180604197762,0.65625,40.9396129633947,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0224002957344055,0.65625,40.9815807880625,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
0.0246230284372966,0.65625,41.0235486127303,2018-01-01,AQUA_MODIS.20180101_20180131.L3b.MO.CHL.x.nc
