date,station,site,country,latitude,longitude,closest_cell_lat,closest_cell_lon,cell_distance_km,chla_annual_mean
2010-03-15,chin1,chin,comoros,-11.9356,43.48603333,-11.9375,43.4791679382324,0.776196958539899,0.152813135222955
2010-03-15,chin2,chin,comoros,-11.93485,43.48138333,-11.9375,43.4791679382324,0.380679171030639,0.152813135222955
2010-03-21,feren1,feren,comoros,-12.4063,43.69545,-12.3958339691162,43.6875,1.44906229522514,0.272397791797465
2010-03-14,itsan1,itsan,comoros,-11.66951667,43.26335,-11.6875,43.2708320617676,2.15926926136263,0.158199749141932
2010-03-14,itsan2,itsan,comoros,-11.66561667,43.26351667,-11.6458339691162,43.2708320617676,2.33955635882322,0.14693845808506
2010-03-20,male2,male,comoros,-11.86995,43.49945,-11.8541669845581,43.4791679382324,2.81980819740663,0.136135446528594
2010-03-23,mirer1,mirereni,comoros,-12.34021667,43.64998333,-12.3541669845581,43.6458320617676,1.61541767889681,0.204225867986679
2010-03-16,mitsam1,mitsamiouli,comoros,-11.37338333,43.31568333,-11.3541669845581,43.3125,2.16476071900689,0.139934357255697
2010-03-16,mitsam2,mitsamiouli,comoros,-11.37903333,43.28818333,-11.3958339691162,43.2708320617676,2.65844991681222,0.137246307324279
2010-03-17,moindz1,moindz,comoros,-11.77658333,43.24103333,-11.7708339691162,43.2291679382324,1.44117159154516,0.142729713767767
2010-03-18,shom1,shomoni,comoros,-11.64466667,43.395,-11.6458339691162,43.3958320617676,0.15830003572678,0.138898499987342
2015-10-03,ch_mvundeni,ch_mvundeni,kenya,-1.934330016,41.3913,-1.93750011920929,41.3958320617676,0.614756056851264,1.4883349686861
2015-10-04,ch_rubu,ch_rubu,kenya,-1.90340599,41.417862,-1.89583337306976,41.4375,2.33925478674309,0.965563386678696
2015-02-01,iweni01,iweni,kenya,-2.2158,41.01296667,-2.22916674613953,41.0208320617676,1.72420994441609,2.90825773278872
2016-04-11,kisit_lee1,kisite_east,kenya,-4.715047013,39.38061403,-4.72916698455811,39.3958320617676,2.304161565367,0.488125344117483
2016-04-11,kisit_lee2,kisite_east,kenya,-4.71411,39.37610297,-4.72916698455811,39.3958320617676,2.75376295403769,0.488125344117483
2015-10-04,kui,kui,kenya,-1.828320986,41.44495499,-1.81250011920929,41.4375,1.94454964184757,1.38040982051329
2015-10-05,kupi,kui,kenya,-1.833282989,41.43640696,-1.81250011920929,41.4375,2.31414398630126,1.38040982051329
2016-04-12,makokokwe1,makokokwe,kenya,-4.723897967,39.33592902,-4.72916698455811,39.3541679382324,2.10438605904322,0.893152015904586
2016-04-12,makokokwe2,makokokwe,kenya,-4.721656982,39.33497599,-4.72916698455811,39.3541679382324,2.28486674024544,0.893152015904586
2015-10-05,mongo_shariff,mongo_shariff,kenya,-1.88192904,41.436945,-1.89583337306976,41.4375,1.54732355700143,0.965563386678696
2015-10-06,shimo_la_tewa,shimo_la_tewa,kenya,-2.04414703,41.24125496,-2.0625,41.2291679382324,2.44310605291583,3.23610860109329
2009-10-16,chuma1,chumb,tanzania,-6.279933333,39.17395,-6.27083349227905,39.1875,1.80744517288398,0.535427407672008
2009-10-16,chuma2,chumb,tanzania,-6.279266667,39.17416667,-6.27083349227905,39.1875,1.74676231131171,0.535427407672008
2011-03-26,dindi8,dindini,tanzania,-7.91805,39.82726667,-7.93750047683716,39.8125,2.70601335455794,0.744316715126236
2011-03-26,dindi9,dindini,tanzania,-7.921633333,39.82505,-7.93750047683716,39.8125,2.24126739713772,0.744316715126236
2011-03-22,kifin32,kifinge,tanzania,-7.84965,39.8632,-7.85416698455811,39.8541679382324,1.1144988243526,0.191217405721545
2011-03-22,kifinn,kifinge,tanzania,-7.843783333,39.86655,-7.85416698455811,39.8541679382324,1.78701442289298,0.191217405721545
2011-03-25,kitut1,kitutia,tanzania,-8.131683333,39.6456,-8.14583396911621,39.6458320617676,1.57368874631224,0.361001575986544
2011-03-25,kitut2,kitutia,tanzania,-8.118833333,39.65035,-8.10416698455811,39.6458320617676,1.7049772269673,0.606083745757739
2011-03-24,mange1,mange,tanzania,-8.056833333,39.60428333,-8.0625,39.6041679382324,0.630233669795874,0.903687104582787
2011-03-24,mange2,mange,tanzania,-8.0787,39.59795,-8.0625,39.6041679382324,1.92704896879764,0.903687104582787
2009-10-25,mnaza1,mnazia,tanzania,-10.29486667,40.41475,-10.3125,40.3958320617676,2.85096268218985,0.881008373200893
2009-10-25,mnaza2,mnazia,tanzania,-10.28918333,40.41085,-10.2708339691162,40.3958320617676,2.619711879562,0.431901883333921
2009-10-26,mnazb1,mnazib,tanzania,-10.26611667,40.38583333,-10.2708339691162,40.3958320617676,1.21325351918974,0.431901883333921
2009-10-26,mnazb2,mnazib,tanzania,-10.25835,40.3739,-10.2708339691162,40.3541679382324,2.56675416413152,0.940310153094205
2009-10-27,mnazd1,mnazid,tanzania,-10.33686667,40.35586667,-10.3541669845581,40.3541679382324,1.93266397397801,2.23425841331482
2009-10-27,mnazd2,mnazid,tanzania,-10.33165,40.36435,-10.3125,40.3541679382324,2.40312222094998,1.22204768160979
2009-10-27,mnaze1,mnazie,tanzania,-10.3163,40.36858333,-10.3125,40.3541679382324,1.63264403116949,1.22204768160979
2009-10-28,mnaze2,mnazie,tanzania,-10.31646667,40.3705,-10.3125,40.3541679382324,1.84033554066433,1.22204768160979
2009-10-28,mnazf1,mnazif,tanzania,-10.2363,40.34351667,-10.2291669845581,40.3541679382324,1.40980801037792,0.298226361473401
