date,station,site,country,latitude,longitude,closest_cell,cell_distance_km,chla_annual_mean
2023-03-24,kkr_01,kadhikia_kuru,kenya,-1.723652,41.537266,9670018,12.2595353417221,0.0409886742367755
2023-02-14,miki_01,mikes_inner,kenya,-1.99245,41.28386,9670012,42.0269988254444,0.0441590898377555
2023-02-14,miko_02,mikes_outer,kenya,-1.99774,41.29116,9670012,42.6403175530979,0.0441590898377555
2023-02-14,miko_01,mikes_outer,kenya,-1.9938,41.29127,9670012,42.2030774492528,0.0441590898377555
2023-02-13,mkcg_01,mkokoni_coral_garden,kenya,-1.96254,41.30585,9670013,38.7092033043473,0.0451769055117757
2023-02-15,sht_01,shimo_la_tewa,kenya,-2.04374,41.24154,9670011,47.7262585549119,0.0399583537119991
2023-02-18,chm_01,chambani,kenya,-2.15035,41.17268,9891146,56.2546759932704,0.0473754382427828
2023-02-18,kfc_01,kadhikia_fawachu,kenya,-2.15301,41.15146,9891145,55.9864670296927,0.0421859327293141
2023-02-16,ktw_01,kitwani,kenya,-2.10469,41.17887,9670010,54.5224590414501,0.0420927524431339
2023-02-19,mab_01,mabiyu,kenya,-2.09127,41.17648,9670010,53.0398576073557,0.0420927524431339
2022-11-03,wmb_02,wembe,kenya,-3.76662,39.84587,10164285,17.9142101884517,0.0511939153421757
2022-11-03,wmb_01,wembe,kenya,-3.76209,39.8414,10164285,18.465630022471,0.0511939153421757
2022-03-04,iwe_01,iweni,kenya,-2.214504,41.018066,9891142,49.1221310341377,0.0358127337712032
2022-03-03,kny_01,kinyika_inner,kenya,-2.43039,40.8404,9891138,25.1479519344706,0.0370361051098867
2022-03-05,knyo_01,kinyika_outer,kenya,-2.430123,40.842049,9891138,25.1688360500342,0.0370361051098867
2023-02-21,mat_01,manda_toto,kenya,-2.21796,40.97657,9891141,48.7369167484387,0.044097537784786
2021-11-23,and_02,andromache,kenya,-4.10642,39.68922,10164281,19.9812620935827,0.0402384591843798
2021-11-23,and_01,andromache,kenya,-4.10165,39.68993,10164281,19.4469984851336,0.0402384591843798
2022-11-18,din_01,dindini,tanzania,-7.92177,39.82523,10893811,75.8666000640432,0.0470060286738656
2022-11-18,din_02,dindini,tanzania,-7.92628,39.82433,10893811,76.3664218552949,0.0470060286738656
2022-11-16,kif_01,kifinge,tanzania,-7.84939,39.86331,10893812,67.8186022934268,0.0487647088828372
2022-11-16,kif_02,kifinge,tanzania,-7.85414,39.86386,10893812,68.3478079001924,0.0487647088828372
2022-11-17,kik_01,kisiwa_kikubwa,tanzania,-7.95904,39.79773,11204058,72.8971102542363,0.0633207582116537
2022-11-17,msu_01,kisiwa_kikubwa,tanzania,-7.96221,39.7943,11204058,72.5416980092945,0.0633207582116537
