"","date","station","site","country","latitude","longitude","Grav_tot","distance_to_grid_km"
"20943",2011-10-09,"va2","vamizinu","mozambique",-11.02225,40.64453333,17,0
"20942",2011-10-10,"va4","vamizinu","mozambique",-11.00726667,40.62273333,21,0
"20944",2011-10-12,"va8","vamizine","mozambique",-10.99668333,40.72485,18,0
"20944.1",2011-10-11,"va6","vamizine","mozambique",-10.99596667,40.72005,18,0.088092302340335
"20943.1",2011-10-09,"va1","vamizinr","mozambique",-10.99563333,40.68433333,17,0
"20943.2",2015-03-07,"vamizine_5","vamizine_2","mozambique",-10.994217,40.71341702,17,0
"20943.3",2011-10-11,"va5","vamizine","mozambique",-10.99421667,40.71341667,17,0
"20943.4",2015-03-07,"vamizinr_3","vamizinr_2","mozambique",-10.99069501,40.68838497,17,0
"20943.5",2011-10-10,"va3","vamizinr","mozambique",-10.98935,40.68725,17,0
"20821",2015-03-12,"rongwe","palma_islands","mozambique",-10.82188399,40.65679098,21,0
"20821.1",2015-03-12,"tekamajis","palma_islands","mozambique",-10.80747499,40.649174,21,0
"20746",2015-03-15,"tekamajn2","tekamajin","mozambique",-10.75634203,40.64404001,27,0
"20746.1",2015-03-15,"tekamajn1","tekamajin","mozambique",-10.75541801,40.64315999,27,0
"20746.2",2015-03-13,"quiwia","quiwia","mozambique",-10.72325,40.63063333,27,0
"20669",2015-03-13,"farol1","quiwia","mozambique",-10.69706667,40.65378333,34,0
"20668",2015-03-14,"quirind1","quirindi","mozambique",-10.64928903,40.58802098,156,0
"20605",2015-03-14,"quirind2","quirindi","mozambique",-10.62036501,40.61030997,36,0
"20390",2009-10-27,"mnazd1","mnazid","tanzania",-10.33686667,40.35586667,70,0
"20391",2009-10-27,"mnazd2","mnazid","tanzania",-10.33165,40.36435,39,0
"20391.1",2009-10-28,"mnaze2","mnazie","tanzania",-10.31646667,40.3705,39,0
"20391.2",2009-10-27,"mnaze1","mnazie","tanzania",-10.3163,40.36858333,39,0
"20391.3",2009-10-25,"mnaza1","mnazia","tanzania",-10.29486667,40.41475,39,0
"20391.4",2009-10-25,"mnaza2","mnazia","tanzania",-10.28918333,40.41085,39,0
"20318",2009-10-26,"mnazb1","mnazib","tanzania",-10.26611667,40.38583333,47,0
